booking_id,hotel,is_canceled,lead_time,arrival_date,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent_id,company_id,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
5c18cb4bf18e3cca,Resort Hotel,0,342,2015-07-01,0,0,2,0,0,Bb,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,,,Transient,0.0,0,0,Check-Out,2015-07-01
9d4808c90fcec6ad,Resort Hotel,0,737,2015-07-01,0,0,2,0,0,Bb,PRT,Direct,Direct,0,0,0,C,C,4,No Deposit,,,Transient,0.0,0,0,Check-Out,2015-07-01
0e515446c1728f5b,Resort Hotel,0,7,2015-07-01,0,1,1,0,0,Bb,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,,,Transient,75.0,0,0,Check-Out,2015-07-02
08448dad5ebec1ad,Resort Hotel,0,13,2015-07-01,0,1,1,0,0,Bb,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304,,Transient,75.0,0,0,Check-Out,2015-07-02
8dc199dcbe8e24df,Resort Hotel,0,14,2015-07-01,0,2,2,0,0,Bb,GBR,Online Ta,Ta/To,0,0,0,A,A,0,No Deposit,240,,Transient,98.0,0,1,Check-Out,2015-07-03
07ed24bcc1ed8d4f,Resort Hotel,0,0,2015-07-01,0,2,2,0,0,Bb,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,,,Transient,107.0,0,0,Check-Out,2015-07-03
e637c7e63c62b0b6,Resort Hotel,0,9,2015-07-01,0,2,2,0,0,Fb,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303,,Transient,103.0,0,1,Check-Out,2015-07-03
eaa1b8d9162b985c,Resort Hotel,1,85,2015-07-01,0,3,2,0,0,Bb,PRT,Online Ta,Ta/To,0,0,0,A,A,0,No Deposit,240,,Transient,82.0,0,1,Canceled,2015-05-06
ef821294b83b2b51,Resort Hotel,1,75,2015-07-01,0,3,2,0,0,Hb,PRT,Offline Ta/To,Ta/To,0,0,0,D,D,0,No Deposit,15,,Transient,105.5,0,0,Canceled,2015-04-22
ebab514a4ef802ba,Resort Hotel,1,23,2015-07-01,0,4,2,0,0,Bb,PRT,Online Ta,Ta/To,0,0,0,E,E,0,No Deposit,240,,Transient,123.0,0,0,Canceled,2015-06-23
7a1beb35ff762e82,Resort Hotel,0,35,2015-07-01,0,4,2,0,0,Hb,PRT,Online Ta,Ta/To,0,0,0,D,D,0,No Deposit,240,,Transient,145.0,0,0,Check-Out,2015-07-05
6108c3dfd27d6ac8,Resort Hotel,0,68,2015-07-01,0,4,2,0,0,Bb,USA,Online Ta,Ta/To,0,0,0,D,E,0,No Deposit,240,,Transient,97.0,0,3,Check-Out,2015-07-05
e22ea75e82de3324,Resort Hotel,0,18,2015-07-01,0,4,2,1,0,Hb,ESP,Online Ta,Ta/To,0,0,0,G,G,1,No Deposit,241,,Transient,154.77,0,1,Check-Out,2015-07-05
53b37ffbc22324d8,Resort Hotel,0,37,2015-07-01,0,4,2,0,0,Bb,PRT,Online Ta,Ta/To,0,0,0,E,E,0,No Deposit,241,,Transient,94.71,0,0,Check-Out,2015-07-05
09509d502bbcba58,Resort Hotel,0,37,2015-07-01,0,4,2,0,0,Bb,PRT,Offline Ta/To,Ta/To,0,0,0,E,E,0,No Deposit,8,,Contract,97.5,0,0,Check-Out,2015-07-05
7d43496dca555867,Resort Hotel,0,12,2015-07-01,0,1,2,0,0,Bb,IRL,Online Ta,Ta/To,0,0,0,A,E,0,No Deposit,240,,Transient,88.2,0,0,Check-Out,2015-07-02
7f4c9a441482509f,Resort Hotel,0,0,2015-07-01,0,1,2,0,0,Bb,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,,110,Transient,107.42,0,0,Check-Out,2015-07-02
8032909c864718e8,Resort Hotel,0,7,2015-07-01,0,4,2,0,0,Bb,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250,,Transient,153.0,0,1,Check-Out,2015-07-05
704dee5b76bd6163,Resort Hotel,0,37,2015-07-01,1,4,1,0,0,Bb,GBR,Online Ta,Ta/To,0,0,0,F,F,0,No Deposit,241,,Transient,97.29,0,1,Check-Out,2015-07-06
9ed861e286fc4a5f,Resort Hotel,0,72,2015-07-01,2,4,2,0,0,Bb,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250,,Transient,84.67,0,1,Check-Out,2015-07-07
8ea00c988bb921e6,Resort Hotel,0,72,2015-07-01,2,4,2,0,0,Bb,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250,,Transient,99.67,0,1,Check-Out,2015-07-07
a82b68da7d987b42,Resort Hotel,0,127,2015-07-01,2,5,2,0,0,Hb,GBR,Offline Ta/To,Ta/To,0,0,0,D,I,0,No Deposit,115,,Contract,94.95,0,1,Check-Out,2015-07-01
e73d20a9287ba894,Resort Hotel,0,78,2015-07-01,2,5,2,0,0,Bb,PRT,Offline Ta/To,Ta/To,0,0,0,D,D,0,No Deposit,5,,Transient,63.6,1,0,Check-Out,2015-07-08
5fcbb1405a349772,Resort Hotel,0,48,2015-07-01,2,5,2,0,0,Bb,IRL,Offline Ta/To,Ta/To,0,0,0,D,D,0,No Deposit,8,,Contract,79.5,0,0,Check-Out,2015-07-08
ae7eb14852ed4bfd,Resort Hotel,1,60,2015-07-01,2,5,2,0,0,Bb,PRT,Online Ta,Ta/To,0,0,0,E,E,0,No Deposit,240,,Transient,107.0,0,2,Canceled,2015-05-11
2e40eca54fe572d2,Resort Hotel,0,77,2015-07-01,2,5,2,0,0,Bb,PRT,Online Ta,Ta/To,0,0,0,A,A,0,No Deposit,240,,Transient,94.0,0,0,Check-Out,2015-07-08
114b4a7f5c2500d6,Resort Hotel,0,99,2015-07-01,2,5,2,0,0,Bb,PRT,Online Ta,Ta/To,0,0,0,D,D,0,No Deposit,240,,Transient,87.3,1,1,Check-Out,2015-07-08
126e96deb3d8b66f,Resort Hotel,0,118,2015-07-01,4,10,1,0,0,Bb,UNK,Direct,Direct,0,0,0,A,A,2,No Deposit,,,Transient,62.0,0,2,Check-Out,2015-07-15
