index,raw_payload,rejection_reason
2224,"{""hotel"": ""Resort Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""1"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""October"", ""arrival_date_week_number"": ""41"", ""arrival_date_day_of_month"": ""6"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""3"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""PRT"", ""market_segment"": ""Corporate"", ""distribution_channel"": ""Corporate"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""I"", ""booking_changes"": ""1"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": ""174"", ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient-Party"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-10-06""}",No guests in booking
2409,"{""hotel"": ""Resort Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""0"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""October"", ""arrival_date_week_number"": ""42"", ""arrival_date_day_of_month"": ""12"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""0"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""PRT"", ""market_segment"": ""Corporate"", ""distribution_channel"": ""Corporate"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""I"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": ""174"", ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-10-12""}",No guests in booking
3181,"{""hotel"": ""Resort Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""36"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""November"", ""arrival_date_week_number"": ""47"", ""arrival_date_day_of_month"": ""20"", ""stays_in_weekend_nights"": ""1"", ""stays_in_week_nights"": ""2"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""ESP"", ""market_segment"": ""Groups"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""C"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": ""38"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient-Party"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-11-23""}",No guests in booking
3684,"{""hotel"": ""Resort Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""165"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""December"", ""arrival_date_week_number"": ""53"", ""arrival_date_day_of_month"": ""30"", ""stays_in_weekend_nights"": ""1"", ""stays_in_week_nights"": ""4"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""PRT"", ""market_segment"": ""Groups"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""A"", ""booking_changes"": ""1"", ""deposit_type"": ""No Deposit"", ""agent"": ""308"", ""company"": null, ""days_in_waiting_list"": ""122"", ""customer_type"": ""Transient-Party"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2016-01-04""}",No guests in booking
3708,"{""hotel"": ""Resort Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""165"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""December"", ""arrival_date_week_number"": ""53"", ""arrival_date_day_of_month"": ""30"", ""stays_in_weekend_nights"": ""2"", ""stays_in_week_nights"": ""4"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""PRT"", ""market_segment"": ""Groups"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""C"", ""booking_changes"": ""1"", ""deposit_type"": ""No Deposit"", ""agent"": ""308"", ""company"": null, ""days_in_waiting_list"": ""122"", ""customer_type"": ""Transient-Party"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2016-01-05""}",No guests in booking
4127,"{""hotel"": ""Resort Hotel"", ""is_canceled"": ""1"", ""lead_time"": ""0"", ""arrival_date_year"": ""2016"", ""arrival_date_month"": ""February"", ""arrival_date_week_number"": ""8"", ""arrival_date_day_of_month"": ""15"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""0"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": null, ""market_segment"": ""Offline TA/TO"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""P"", ""assigned_room_type"": ""P"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": ""383"", ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Canceled"", ""reservation_status_date"": ""2016-02-15""}",No guests in booking
9376,"{""hotel"": ""Resort Hotel"", ""is_canceled"": ""1"", ""lead_time"": ""0"", ""arrival_date_year"": ""2016"", ""arrival_date_month"": ""November"", ""arrival_date_week_number"": ""48"", ""arrival_date_day_of_month"": ""21"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""0"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": null, ""market_segment"": ""Offline TA/TO"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""P"", ""assigned_room_type"": ""P"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": ""386"", ""days_in_waiting_list"": ""0"", ""customer_type"": ""Group"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Canceled"", ""reservation_status_date"": ""2016-11-21""}",No guests in booking
14969,"{""hotel"": ""Resort Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""195"", ""arrival_date_year"": ""2017"", ""arrival_date_month"": ""March"", ""arrival_date_week_number"": ""10"", ""arrival_date_day_of_month"": ""5"", ""stays_in_weekend_nights"": ""4"", ""stays_in_week_nights"": ""6"", ""adults"": ""2"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""GBR"", ""market_segment"": ""Groups"", ""distribution_channel"": ""Direct"", ""is_repeated_guest"": ""1"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""2"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""H"", ""booking_changes"": ""2"", ""deposit_type"": ""No Deposit"", ""agent"": ""273"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient-Party"", ""adr"": ""-6.38"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2017-03-15""}",Negative price ADR: -6.38
31765,"{""hotel"": ""Resort Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""31"", ""arrival_date_year"": ""2016"", ""arrival_date_month"": ""December"", ""arrival_date_week_number"": ""53"", ""arrival_date_day_of_month"": ""27"", ""stays_in_weekend_nights"": ""2"", ""stays_in_week_nights"": ""8"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""PRT"", ""market_segment"": ""Direct"", ""distribution_channel"": ""Direct"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""D"", ""assigned_room_type"": ""D"", ""booking_changes"": ""3"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""28"", ""required_car_parking_spaces"": ""1"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2017-01-06""}",No guests in booking
32029,"{""hotel"": ""Resort Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""4"", ""arrival_date_year"": ""2017"", ""arrival_date_month"": ""January"", ""arrival_date_week_number"": ""2"", ""arrival_date_day_of_month"": ""14"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""1"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""PRT"", ""market_segment"": ""Groups"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""G"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": ""168"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient-Party"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2017-01-15""}",No guests in booking
